customer_id,product_id,order_id,City,State,Date,Product_Category,Sales,Quantity_Sold
584,9,1048,Dallas,Texas,1/1/2023,Toys,973.73,6
371,4,628,San Antonio,Texas,1/1/2023,Toys,777.67,3
19,19,779,San Jose,California,1/1/2023,Furniture,991.18,7
21,1,146,Phoenix,Arizona,1/1/2023,Furniture,491.62,6
492,4,741,Philadelphia,Pennsylvania,1/1/2023,Furniture,574.56,4
527,18,638,Chicago,Illinois,1/2/2023,Toys,218.98,4
120,19,377,Houston,Texas,1/2/2023,Electronics,713.96,1
40,14,144,Los Angeles,California,1/2/2023,Toys,926.63,7
167,18,494,Phoenix,Arizona,1/3/2023,Toys,511.33,7
33,4,1018,San Antonio,Texas,1/4/2023,Clothing,311.29,2
304,1,603,Phoenix,Arizona,1/4/2023,Toys,806.92,6
183,5,1040,San Jose,California,1/5/2023,Toys,299.6,3
514,18,12,Los Angeles,California,1/5/2023,Electronics,774.26,9
184,5,926,Chicago,Illinois,1/5/2023,Clothing,184.17,4
608,16,1232,Dallas,Texas,1/5/2023,Electronics,708.4,8
97,5,1080,Dallas,Texas,1/5/2023,Toys,631.63,1
466,17,903,Houston,Texas,1/6/2023,Furniture,633.99,9
184,7,443,Los Angeles,California,1/6/2023,Furniture,121.23,5
126,12,1136,Houston,Texas,1/7/2023,Electronics,527.4,3
132,11,717,Los Angeles,California,1/7/2023,Furniture,299.92,9
595,3,763,New York,New York,1/8/2023,Clothing,452.79,7
95,20,939,San Diego,California,1/8/2023,Clothing,659.92,2
566,7,437,Houston,Texas,1/8/2023,Furniture,189.23,6
21,17,46,Chicago,Illinois,1/9/2023,Books,805.57,6
555,7,1200,Houston,Texas,1/9/2023,Clothing,654.35,9
575,20,500,Chicago,Illinois,1/9/2023,Clothing,435.87,8
80,20,91,San Diego,California,1/10/2023,Clothing,698.47,5
399,19,422,Los Angeles,California,1/10/2023,Books,840.37,9
63,4,269,Dallas,Texas,1/12/2023,Electronics,417.36,3
500,4,19,Chicago,Illinois,1/12/2023,Electronics,477.07,4
420,15,1230,Chicago,Illinois,1/12/2023,Books,626.05,3
402,13,656,San Diego,California,1/13/2023,Toys,139.44,8
38,3,236,San Jose,California,1/13/2023,Clothing,933.09,1
106,18,1174,Philadelphia,Pennsylvania,1/13/2023,Furniture,209.14,7
97,15,790,San Diego,California,1/13/2023,Electronics,466.42,4
556,14,477,New York,New York,1/14/2023,Clothing,872.05,2
582,2,753,Chicago,Illinois,1/14/2023,Toys,318.07,3
9,19,1198,San Antonio,Texas,1/14/2023,Furniture,329.98,10
86,5,1034,Phoenix,Arizona,1/14/2023,Electronics,389.16,10
448,5,462,Philadelphia,Pennsylvania,1/15/2023,Electronics,859.5,10
123,8,660,Houston,Texas,1/15/2023,Furniture,373.28,3
28,1,936,San Antonio,Texas,1/15/2023,Furniture,403.71,1
541,2,81,San Jose,California,1/16/2023,Electronics,393.63,2
