customer_id,product_id,order_id,city,state,date,product_category,sales,quantity_sold,Quarter
225,15,397,Dallas,Texas,1/1/2024,Electronics,171.97,8,Q1
331,12,545,San Antonio,Texas,1/1/2024,Books,911.15,6,Q1
341,5,222,San Jose,California,1/1/2024,Electronics,604.8,4,Q1
537,1,535,Phoenix,Arizona,1/1/2024,Clothing,525.05,8,Q1
615,2,126,Philadelphia,Pennsylvania,1/1/2024,Furniture,580.68,9,Q1
115,6,811,Chicago,Illinois,1/2/2024,Clothing,904.03,9,Q1
435,14,897,Houston,Texas,1/2/2024,Furniture,948.62,5,Q1
533,16,130,Los Angeles,California,1/2/2024,Toys,961.82,9,Q1
32,11,105,Phoenix,Arizona,1/3/2024,Clothing,312.11,8,Q1
176,19,517,San Antonio,Texas,1/3/2024,Toys,805.96,10,Q1
256,1,446,Phoenix,Arizona,1/3/2024,Toys,139.49,3,Q1
257,4,593,San Jose,California,1/3/2024,Books,197.45,3,Q1
512,3,550,Los Angeles,California,1/3/2024,Toys,280.55,6,Q1
532,9,556,Chicago,Illinois,1/3/2024,Clothing,114.07,6,Q1
303,4,969,Dallas,Texas,1/4/2024,Toys,899.99,8,Q1
621,2,112,Dallas,Texas,1/4/2024,Clothing,185.94,1,Q1
641,12,2,Houston,Texas,1/4/2024,Toys,153.71,7,Q1
95,20,310,Los Angeles,California,1/5/2024,Furniture,359.42,8,Q1
152,20,341,Houston,Texas,1/5/2024,Books,529.1,8,Q1
356,16,773,Los Angeles,California,1/5/2024,Books,104.51,9,Q1
132,14,1037,New York,New York,1/6/2024,Electronics,949.46,1,Q1
488,18,885,San Diego,California,1/6/2024,Books,305.04,6,Q1
521,6,1038,Houston,Texas,1/6/2024,Electronics,963.87,9,Q1
616,13,1066,Chicago,Illinois,1/6/2024,Toys,980.7,4,Q1
23,18,843,Houston,Texas,1/7/2024,Electronics,906.26,8,Q1
227,19,1149,Chicago,Illinois,1/7/2024,Electronics,997.57,8,Q1
235,19,74,San Diego,California,1/7/2024,Clothing,103.86,4,Q1
389,9,748,Los Angeles,California,1/7/2024,Furniture,625.11,2,Q1
20,14,1110,Dallas,Texas,1/8/2024,Clothing,340.35,10,Q1
200,1,662,Chicago,Illinois,1/8/2024,Clothing,184.7,6,Q1
255,5,471,Chicago,Illinois,1/8/2024,Electronics,364.97,9,Q1
34,5,644,San Diego,California,1/9/2024,Electronics,962.76,4,Q1
377,10,30,San Jose,California,1/9/2024,Toys,444.32,5,Q1
490,8,755,Philadelphia,Pennsylvania,1/9/2024,Books,490.82,7,Q1
668,10,251,San Diego,California,1/9/2024,Toys,888.35,1,Q1
205,3,418,New York,New York,1/10/2024,Electronics,103.46,4,Q1
685,16,991,Chicago,Illinois,1/10/2024,Electronics,805.03,4,Q1
