transaction_id,customer_id,transaction_date,transaction_amount,payment_method,product_id,quantity
1,390,7/2/2023,456.69,PayPal,7,2
2,7,7/3/2023,289.37,PayPal,2,8
3,465,7/4/2023,115.62,PayPal,4,4
4,316,7/5/2023,268.56,Cash,26,2
5,388,7/6/2023,127.34,Credit Card,41,6
6,186,7/7/2023,265.59,PayPal,27,5
7,338,7/8/2023,149.3,Debit Card,26,5
8,124,7/9/2023,457.19,Credit Card,49,4
9,97,7/10/2023,310.98,Debit Card,29,1
10,289,7/11/2023,182.32,Debit Card,25,6
11,143,7/12/2023,420.49,Cash,46,5
12,20,7/13/2023,299.26,Credit Card,5,4
13,260,7/14/2023,384.52,Debit Card,5,7
14,295,7/15/2023,320.17,Cash,48,10
15,4,7/16/2023,154.44,Credit Card,44,4
16,19,7/17/2023,141.25,PayPal,3,8
17,418,7/18/2023,431.86,PayPal,23,9
18,313,7/19/2023,436.94,Credit Card,2,9
19,487,7/20/2023,56.42,Credit Card,23,9
20,23,7/21/2023,366.25,Debit Card,37,1
21,309,7/22/2023,43.08,Credit Card,30,5
22,283,7/23/2023,203.51,Debit Card,9,2
23,346,7/24/2023,300.34,Debit Card,45,4
24,483,7/25/2023,406.9,Credit Card,46,2
25,79,7/26/2023,494.01,Credit Card,44,6
26,220,7/27/2023,200.94,Credit Card,33,4
27,440,7/28/2023,353.01,Cash,37,2
28,341,7/29/2023,472.18,Debit Card,9,4
29,239,7/30/2023,471.41,Cash,21,1
30,291,7/31/2023,467.93,Credit Card,37,5
31,191,8/1/2023,439.82,Debit Card,43,6
32,170,8/2/2023,184.78,Debit Card,22,10
33,211,8/3/2023,170.29,Debit Card,34,10
34,461,8/4/2023,302.5,Credit Card,50,9
35,452,8/5/2023,122.29,PayPal,23,3
36,445,8/6/2023,40.84,Cash,10,3
37,41,8/7/2023,318.25,PayPal,40,10
38,104,8/8/2023,194.47,Cash,4,8
39,75,8/9/2023,19.45,Cash,43,10
40,48,8/10/2023,144.57,Debit Card,37,2
41,168,8/11/2023,46.58,Credit Card,11,9
42,277,8/12/2023,334.85,Debit Card,23,3
43,219,8/13/2023,218.64,Cash,1,2
44,55,8/14/2023,379.02,PayPal,11,7
45,100,8/15/2023,277.18,Debit Card,44,6
46,328,8/16/2023,158.68,PayPal,50,4
47,77,8/17/2023,439.06,Debit Card,42,10
48,268,8/18/2023,79.24,Credit Card,30,1
49,351,8/19/2023,107.54,PayPal,43,9
50,220,8/20/2023,297.87,Credit Card,30,10
51,182,8/21/2023,274.52,Credit Card,4,7
52,256,8/22/2023,393.08,Credit Card,37,2
53,102,8/23/2023,357.02,Debit Card,41,6
54,487,8/24/2023,146.65,PayPal,36,9
55,112,8/25/2023,148.2,Debit Card,7,5
56,48,8/26/2023,410.65,Cash,13,7
57,212,8/27/2023,323.17,PayPal,12,3
58,113,8/28/2023,400.23,Credit Card,17,5
59,41,8/29/2023,400.96,PayPal,5,1
60,268,8/30/2023,484.93,Credit Card,27,8
61,196,8/31/2023,115.65,Debit Card,47,1
62,335,9/1/2023,464.11,PayPal,36,8
63,426,9/2/2023,54.52,Debit Card,46,7
64,141,9/3/2023,234.19,Debit Card,23,4
65,498,9/4/2023,76.62,Credit Card,45,6
66,165,9/5/2023,455.04,PayPal,7,8
67,482,9/6/2023,65.81,PayPal,35,6
68,212,9/7/2023,103.8,Credit Card,8,6
69,343,9/8/2023,187.64,PayPal,15,1
70,344,9/9/2023,142.9,Debit Card,42,5
71,303,9/10/2023,238.03,Debit Card,34,5
72,348,9/11/2023,402.67,PayPal,9,5
73,223,9/12/2023,311.48,Credit Card,37,5
74,379,9/13/2023,220.58,Credit Card,1,1
75,385,9/14/2023,127.21,PayPal,7,8
76,30,9/15/2023,76.53,PayPal,27,3
77,382,9/16/2023,433.36,Credit Card,33,1
78,304,9/17/2023,210.82,PayPal,33,2
79,251,9/18/2023,182.36,Debit Card,33,4
80,119,9/19/2023,299.28,Debit Card,22,10
81,79,9/20/2023,140.7,PayPal,10,2
82,263,9/21/2023,390.5,Debit Card,23,3
83,89,9/22/2023,210.25,Credit Card,9,9
84,96,9/23/2023,382.11,Debit Card,29,6
85,494,9/24/2023,163.08,Credit Card,45,6
86,386,9/25/2023,472,PayPal,20,4
87,424,9/26/2023,267.61,Cash,42,3
88,48,9/27/2023,346.61,Cash,43,7
89,500,9/28/2023,169.33,Debit Card,45,9
90,260,9/29/2023,153.7,Credit Card,40,2
91,7,9/30/2023,32.8,PayPal,2,9
92,455,10/1/2023,44.53,Cash,30,1
93,137,10/2/2023,25.2,Cash,4,7
94,327,10/3/2023,19.08,Cash,30,5
95,484,10/4/2023,351.97,PayPal,23,1
96,358,10/5/2023,203.51,Debit Card,18,2
97,299,10/6/2023,354.34,Debit Card,22,3
98,160,10/7/2023,32.33,Cash,38,9
99,319,10/8/2023,44.1,Cash,8,2
100,477,10/9/2023,330.99,Cash,39,5
101,308,10/10/2023,476.19,PayPal,23,3
102,334,10/11/2023,225.65,Cash,9,4
103,162,10/12/2023,214.13,Cash,37,5
104,60,10/13/2023,289.2,Credit Card,12,4
105,195,10/14/2023,89.14,Debit Card,13,4
106,178,10/15/2023,44.95,Cash,32,6
107,492,10/16/2023,300.93,Debit Card,15,2
108,310,10/17/2023,300.44,Credit Card,43,9
109,437,10/18/2023,77.26,Credit Card,4,5
110,202,10/19/2023,232.78,PayPal,24,8
111,411,10/20/2023,427.56,Credit Card,7,3
112,340,10/21/2023,433.23,Debit Card,33,7
113,21,10/22/2023,362.96,Credit Card,29,6
114,405,10/23/2023,485.18,Credit Card,27,10
115,105,10/24/2023,359.86,Debit Card,35,1
116,127,10/25/2023,112.48,Cash,29,10
117,148,10/26/2023,198.3,Cash,10,2
118,85,10/27/2023,358.72,Credit Card,41,1
119,445,10/28/2023,104.26,PayPal,23,10
120,470,10/29/2023,132.81,PayPal,46,1
121,51,10/30/2023,200.35,Credit Card,35,3
122,53,10/31/2023,354.57,Debit Card,18,4
123,447,11/1/2023,358.89,PayPal,44,8
124,259,11/2/2023,150.7,Cash,44,3
125,363,11/3/2023,103.43,Cash,37,1
126,201,11/4/2023,378.67,Debit Card,3,5
127,470,11/5/2023,341.34,Debit Card,11,5
128,473,11/6/2023,228.61,PayPal,6,4
129,276,11/7/2023,78.36,Cash,4,10
130,376,11/8/2023,277.12,Credit Card,36,6
131,172,11/9/2023,318.99,PayPal,43,5
