Visitor_ID,Page_Views,Session_Duration,Bounce_Rate,Conversion_Rate,Traffic_Source,Exit_Pages,Load_Time,Visitor_Type,Location
1,5,711.33,0.57,0.05,Organic,Contact Us,1.31,New,Chicago
2,4,221.4,0.1,0.05,Social Media,Checkout,2.01,Returning,Charlotte
3,4,704.4,0.8,0.03,Organic,Homepage,2.38,Returning,Charlotte
4,5,695.65,0.26,0.06,Direct,Blog,2.21,New,Austin
5,5,65.83,0.55,0.03,Referral,Product Page,2.22,New,San Jose
6,3,143.69,0.51,0.04,Social Media,Blog,1.93,New,Washington
7,5,43.38,0.24,0.01,Referral,Product Page,1.21,New,Charlotte
8,4,447.47,0.12,0.06,Social Media,Homepage,1.08,Returning,Philadelphia
9,6,210.43,0.21,0.07,Referral,Homepage,2.14,Returning,Los Angeles
10,7,792.71,0.1,0.08,Referral,Contact Us,2.1,New,Jacksonville
11,2,70.04,0.28,0.09,Referral,Product Page,2.49,New,Houston
12,5,349.78,1,0.08,Direct,Checkout,1.3,Returning,Indianapolis
13,5,1359.49,0.4,0.02,Organic,Blog,1.36,Returning,San Jose
14,6,328.43,0.86,0.02,Social Media,Checkout,2.1,Returning,Denver
15,4,21.38,0.55,0.09,Direct,Product Page,1.68,New,Indianapolis
16,6,266.33,0.67,0.08,Direct,Checkout,1.84,New,Los Angeles
17,6,59.48,0.16,0.08,Referral,Product Page,1.33,Returning,Denver
18,1,9.29,0.27,0.07,Social Media,Contact Us,2.18,New,San Antonio
19,7,122.37,0.51,0.03,Social Media,Contact Us,1.89,New,Indianapolis
20,2,92.82,0.88,0.08,Social Media,Checkout,2.15,New,Austin
21,11,466.44,0.04,0.01,Social Media,Checkout,2.43,New,Phoenix
22,4,140.37,0.51,0.04,Social Media,Product Page,1.37,New,Columbus
23,3,396.11,0.05,0.03,Direct,Contact Us,2.14,Returning,Phoenix
24,8,4.91,0.46,0.06,Social Media,Checkout,1.51,New,San Diego
25,3,4.48,0.63,0.05,Direct,Product Page,2.47,New,San Jose
26,3,8.93,0.74,0.05,Social Media,Product Page,1.27,Returning,Fort Worth
27,5,74.29,0.14,0.06,Referral,Checkout,1.77,Returning,Washington
28,8,140.52,0.17,0.04,Direct,Blog,2.64,New,Philadelphia
29,3,280.83,0.47,0.02,Direct,Homepage,1.39,New,Jacksonville
30,2,1278.77,1,0.07,Social Media,Product Page,1.39,New,Fort Worth
31,5,131.28,0.36,0.08,Social Media,Contact Us,2.6,Returning,Philadelphia
32,3,17.18,0.43,0.05,Organic,Homepage,1.7,Returning,Indianapolis
33,8,65.04,0.43,0.06,Referral,Product Page,2.85,Returning,Washington
34,10,684.4,0.08,0.05,Referral,Blog,1.72,New,New York
35,3,360.57,0.77,0.01,Direct,Homepage,2.12,Returning,Chicago
36,2,468.48,0.25,0.04,Referral,Contact Us,2.84,Returning,Houston
37,5,39.77,0.7,0,Organic,Homepage,0.91,New,Dallas
38,7,43.5,0.48,0.07,Social Media,Checkout,1.6,Returning,Seattle
39,6,35.72,0.61,0.05,Social Media,Product Page,2.1,New,Columbus
40,6,583.83,0.05,0.01,Social Media,Checkout,3.08,Returning,Fort Worth
41,2,70.7,0.89,0.05,Direct,Blog,2.14,New,Indianapolis
42,4,309.13,0.24,0.09,Organic,Homepage,1.08,New,New York
43,9,217.8,0.67,0.03,Direct,Checkout,2.29,Returning,Fort Worth
44,7,235.84,0.8,0.1,Direct,Blog,3.02,Returning,Los Angeles
45,11,65.24,0.54,0.1,Referral,Checkout,1.6,Returning,New York
46,8,302.56,0.34,0.08,Referral,Contact Us,2.4,Returning,New York
47,3,13.22,0.98,0.08,Direct,Checkout,2.39,Returning,Houston
48,2,1509.51,0.28,0.04,Organic,Product Page,2.38,Returning,Dallas
49,3,8.14,0.95,0.04,Direct,Checkout,2.83,Returning,Charlotte
50,4,15.44,0.16,0.1,Direct,Checkout,2.67,New,San Diego
51,5,117.76,0.39,0.04,Direct,Checkout,1.8,Returning,Houston
52,5,534.47,0.14,0.01,Social Media,Checkout,1.47,New,Indianapolis
53,4,89.19,0,0.02,Social Media,Checkout,1.62,New,San Diego
54,3,191.56,0.26,0.07,Organic,Homepage,2.08,New,Chicago
55,8,5.44,0.09,0.04,Referral,Homepage,2.39,Returning,Houston
56,2,24.65,0.99,0.02,Referral,Contact Us,1.91,New,Dallas
57,1,280.92,0.76,0.08,Organic,Homepage,2.75,New,Austin
58,4,64.83,0,0.05,Referral,Blog,1.61,New,Washington
59,5,355.5,0.22,0.06,Direct,Product Page,2.5,Returning,Columbus
60,4,461.68,0.67,0.02,Social Media,Checkout,2.85,New,Seattle
61,3,569.81,0.4,0.02,Social Media,Checkout,2.19,Returning,Denver
62,4,43.09,0.83,0.01,Referral,Checkout,1.76,Returning,San Jose
63,8,182.37,0.5,0.05,Referral,Contact Us,2.32,Returning,San Jose
64,2,881.7,0.65,0.08,Organic,Contact Us,2.1,New,Washington
65,2,443.63,0.6,0.07,Organic,Blog,2.86,New,San Jose
